2025-10-12 20:10:44,313 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 20:10:44,317 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.vulnhub.com/
2025-10-12 20:10:44,318 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 20:10:45,911 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_201045_0
2025-10-12 20:10:45,921 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 20:10:45,927 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_201045_0
2025-10-12 20:20:54,237 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 20:20:54,242 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.vulnhub.com/
2025-10-12 20:20:54,243 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 20:20:55,686 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_202055_0
2025-10-12 20:20:55,687 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 20:20:55,692 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_202055_0
2025-10-12 21:15:57,448 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-12 21:15:57,458 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-12 21:15:57,459 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-12 21:19:29,103 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 21:19:29,106 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.vulnhub.com/
